percent,PGEM_acc_mean,PGEM_acc_std,PGEM_wacc_mean,PGEM_wacc_std,PGEM_tau_mean,PGEM_tau_std
10,0.791999465227127,6.368197430861292e-05,0.8735082268714904,6.230385333892977e-05,0.579223912794997,0.00012633594723823353
20,0.791879004240036,0.00012737241045588204,0.8734116971492767,0.00013004427435290192,0.5789850110585205,0.0002526173684130055
40,0.7916817367076874,0.00012423705754564164,0.8732446551322937,0.00011698408767688342,0.5785936711247472,0.0002464242546208579
60,0.791469520330429,0.00011008105068506177,0.8730639696121216,0.00012690178488721266,0.5781727043288836,0.00021833952278712057
80,0.7912856221199036,0.00013121788334886735,0.8729258477687836,0.00013362365495941836,0.5778079259016239,0.0002602685436537498
100,0.7911415994167328,0.00016821570059182068,0.8728081107139587,0.00018200093142775088,0.5775222208222172,0.00033370293833714937
150,0.7908776342868805,0.00021093289230520934,0.8725933134555817,0.00020301391578892122,0.5769986325861558,0.000418429757302293
233,0.7905666410923005,0.00028705730594606163,0.8723337709903717,0.00021865027918986537,0.5763817277606195,0.0005694038661232561
400,0.7901718199253083,0.00028028746133395004,0.872039657831192,0.0002507287091646416,0.5755985788795407,0.0005559779360223876
900,0.7899837017059326,0.00028370079545679295,0.8719362199306488,0.0003010755903967885,0.575225368619091,0.0005627714688828889
