percent,BARP_acc_mean,BARP_acc_std,BARP_wacc_mean,BARP_wacc_std,BARP_tau_mean,BARP_tau_std
10,0.788500988483429,0.000246208425304428,0.8706335246562957,0.00026886753318145233,0.5722841815600768,0.0004884221359797699
20,0.786469966173172,0.00029567205703499833,0.8692767679691314,0.00037376542000905707,0.5682553738873815,0.0005865458384910011
40,0.7828620612621308,0.0003174894648764071,0.8664337694644928,0.00047957445611926836,0.5610985564076137,0.0006297798805476912
60,0.7796715795993805,0.0007213500398447782,0.8638544499874115,0.0009472280601729734,0.5547697558324354,0.0014309373375296101
80,0.7765573859214783,0.0008048305720491959,0.8611227512359619,0.0010377474449763968,0.5485923286458189,0.0015964990220366734
100,0.7741422414779663,0.0009572220197690413,0.859136837720871,0.0011145864222975004,0.543801521800231,0.001898806780378618
150,0.7683299660682679,0.0007617355697052167,0.8541095852851868,0.0009656217999692293,0.5322720245411965,0.0015110031515836995
233,0.7593668818473815,0.0004299223949809717,0.8458146691322327,0.0007476581871096042,0.5144924227683554,0.0008528146032100296
400,0.7439992964267731,0.001091957420712556,0.830412608385086,0.0013813425846510405,0.48400853981179975,0.0021660822653113863
900,0.711786687374115,0.0021675407667773538,0.7944717884063721,0.0027938326791297403,0.42011007760254737,0.0042996407169446325
