percent,NoisyBT_acc_mean,NoisyBT_acc_std,NoisyBT_wacc_mean,NoisyBT_wacc_std,NoisyBT_tau_mean,NoisyBT_tau_std
10,0.7916375041007996,1.8989579595675013e-05,0.8730094909667969,1.962403251092025e-05,0.578505937792831,3.767483766626213e-05
20,0.7916288733482361,1.8568816662201076e-05,0.8730010628700257,1.5127940660020557e-05,0.5784888415087688,3.6841167134405926e-05
40,0.7916369915008545,3.607058983591779e-05,0.8730125844478607,4.034805706481759e-05,0.5785049119794105,7.157285447198809e-05
60,0.7916344165802002,4.764879109989147e-05,0.8730055570602417,4.6318353348083905e-05,0.5784998160043234,9.44994899857036e-05
80,0.7916313529014587,4.959723085799186e-05,0.8729982018470764,5.207820006810822e-05,0.5784937220741725,9.837312361297697e-05
100,0.7916229486465454,5.4413163462101e-05,0.87299342751503,4.869204851206364e-05,0.5784770500749528,0.00010794261271609621
150,0.7916757881641387,6.0433419759656825e-05,0.8730348527431488,5.144445123420817e-05,0.5785819065431619,0.00011985010734202977
233,0.7916271090507507,0.00012108384238886912,0.8729913532733917,0.00010884520120537513,0.5784852964262053,0.00024019888275441024
400,0.7916251182556152,0.00014117803764438733,0.872988247871399,0.00012825528575944649,0.5784813907322148,0.00027999905487453695
900,0.7914142847061157,0.00019363686045471474,0.8728192687034607,0.00022942826614033752,0.5780631665347244,0.0003841449982854329
