percent,BT_acc_mean,BT_acc_std,BT_wacc_mean,BT_wacc_std,BT_tau_mean,BT_tau_std
10,0.7873281359672546,2.4621376538983882e-05,0.8699073016643524,2.6818818979002518e-05,0.5699576901286577,4.882176468008029e-05
20,0.7848649442195892,2.72916000279722e-05,0.8681915938854218,5.18679361977861e-05,0.5650715732024171,5.4141529223655e-05
40,0.7806491136550904,2.3987175230542224e-05,0.8648627161979675,2.6425263332455456e-05,0.5567088489639007,4.7591305939067e-05
60,0.7758230209350586,4.010274031108989e-05,0.8608930587768555,4.6727774343670566e-05,0.5471355916681175,7.954240981096102e-05
80,0.7705878615379333,2.565663915814149e-05,0.856336134672165,2.77063271554973e-05,0.5367508865647004,5.0882938949778746e-05
100,0.7654293417930603,2.3214126046560713e-05,0.8519622623920441,2.3698771533565706e-05,0.5265181478673768,4.6060192085235666e-05
150,0.7502530872821808,4.002831963639198e-05,0.8373609244823456,3.8105715573217754e-05,0.49641384080967105,7.939246681172991e-05
233,0.7234831333160401,2.7692369279555263e-05,0.8086143732070923,3.07737920903244e-05,0.44331171329477687,5.49248907794202e-05
400,0.6764104962348938,8.727593701371444e-06,0.7511217176914216,1.451127807051246e-05,0.3499362383453382,1.728299571866557e-05
900,0.6000515401363373,5.816940015744405e-06,0.6463484823703766,7.350122790099701e-06,0.19846695568154857,1.1555946702392e-05
