percent,GradEM_acc_mean,GradEM_acc_std,GradEM_wacc_mean,GradEM_wacc_std,GradEM_tau_mean,GradEM_tau_std
10,0.6957701206207275,0.0011546536246631,0.7547677099704743,0.0012208972208986697,0.369617491907138,0.0021800151985900025
20,0.6959720194339752,0.00162053962195188,0.7548973679542541,0.00184578611985008,0.369998690203282,0.0030596174247074473
40,0.6964202404022217,0.0026492504416751037,0.7553039073944092,0.0030381341595792028,0.3708449504207217,0.005001846419266732
60,0.6961375772953033,0.0027729397945319974,0.755484265089035,0.0030877234574605305,0.3703112728061201,0.005235367254483168
80,0.6949301898479462,0.0018215083629908675,0.7543601512908935,0.0024081353982575594,0.36803170699517895,0.003439024008544598
100,0.6941387295722962,0.0021407957119722212,0.7536425888538361,0.0027412181389243184,0.36653740967429455,0.004041870987899862
150,0.6937742948532104,0.002704729574861659,0.7537528872489929,0.003572410639440519,0.36584934674975467,0.005106569140330486
233,0.6902026057243347,0.00446952822591272,0.7501169204711914,0.005511981444587444,0.3591059488909674,0.008438555091660358
400,0.6809766113758087,0.005843922252014464,0.7402814209461213,0.005952077589956814,0.3416870927486677,0.011033413288801967
900,0.6648586213588714,0.008213740631508572,0.7208893477916718,0.009889604118488183,0.3112560327674928,0.01550769169835417
