percent,htcv_acc_mean,htcv_acc_std,htcv_wacc_mean,htcv_wacc_std,htcv_tau_mean,htcv_tau_std
10,0.6941569030284882,0.00017182617309366563,0.7535088539123536,0.0001638818447237717,0.36657171752094747,0.00032440512527313046
20,0.6935289740562439,0.00048140157763479905,0.7525768041610718,0.0005173705917848936,0.3653861908199397,0.0009088781880153443
40,0.6967109799385071,0.00012499051714758746,0.7559129655361175,0.00010293866227897185,0.37139387596716905,0.00023598145102579407
60,0.6969754755496979,0.00017843556596145067,0.7564573168754578,0.0002144083064163247,0.3718932457351176,0.0003368863531093499
80,0.6984534204006195,0.00042467090810893683,0.7565816223621369,0.00041958755039205113,0.3746836172628917,0.000801788341467188
100,0.5619350492954254,0.0010574344807830498,0.5755849838256836,0.0016160956953784205,0.11693448333365042,0.0019964421469802467
150,0.5571590185165405,0.0007227476883874744,0.5696361005306244,0.0008092275512733088,0.10791723763836428,0.0013645421512376802
233,0.5587469875812531,0.0004103068548181464,0.5744621396064759,0.0006490400107925341,0.11091536223753677,0.0007746771011499125
400,0.5527918219566346,0.00016060663221857227,0.566355973482132,0.0002670971406338868,0.09967191849276973,0.00030322042214125586
900,0.5516712605953217,0.00048374058658627524,0.5649603426456451,0.000660176511694412,0.09755626794917056,0.0009133041029550981
